name,value,date
Java,15.91,2013_06_07
Java,15.91,2013_06_12
Java,15.98,2013_07_04
Java,16.15,2013_08_11
Java,16.11,2013_09_10
Java,16.52,2013_10_09
Java,17.31,2013_11_06
Java,16.52,2014_00_01
Java,17.32,2014_01_08
Java,16.41,2014_02_03
Java,17.35,2014_03_10
Java,16.91,2014_04_07
Java,16.11,2014_05_08
Java,15.69,2014_06_06
Java,14.98,2014_07_11
Java,14.14,2014_08_01
Java,13.51,2014_09_03
Java,14.39,2014_10_08
Java,14.96,2014_11_07
Java,15.53,2015_00_06
Java,15.34,2015_01_05
Java,15.58,2015_02_07
Java,16.04,2015_03_13
Java,16.87,2015_04_13
Java,17.82,2015_05_06
Java,17.73,2015_06_12
Java,19.27,2015_07_06
Java,19.56,2015_08_05
Java,19.54,2015_09_04
Java,20.40,2015_10_07
Java,20.97,2015_11_04
Java,21.47,2016_00_02
Java,21.14,2016_01_02
Java,20.53,2016_02_03
Java,20.85,2016_03_07
Java,20.96,2016_04_06
Java,20.79,2016_05_05
Java,19.80,2016_06_04
Java,19.01,2016_07_06
Java,18.24,2016_08_08
Java,18.80,2016_09_07
Java,18.75,2016_10_05
Java,17.86,2016_11_04
Java,17.28,2017_00_07
Java,16.68,2017_01_08
Java,16.38,2017_02_07
Java,15.57,2017_03_09
Java,14.64,2017_04_06
Java,14.49,2017_05_03
Java,13.77,2017_06_07
Java,12.96,2017_07_02
Java,12.69,2017_08_06
Java,12.43,2017_09_05
Java,13.23,2017_10_12
Java,13.27,2017_11_09
Java,14.22,2018_00_03
Java,14.99,2018_01_08
Java,14.94,2018_02_07
Java,15.78,2018_03_01
Java,16.38,2018_04_06
Java,15.37,2018_05_10
Java,16.14,2018_06_07
Java,16.88,2018_07_01
Java,17.44,2018_08_03
Java,17.80,2018_09_05
Java,16.75,2018_10_08
Java,15.93,2018_11_02
Java,16.90,2019_00_04
Java,15.88,2019_01_06
Java,14.88,2019_02_02
Java,15.04,2019_03_07
Java,16.00,2019_04_04
Java,15.00,2019_05_09
Java,15.06,2019_06_06
Java,16.03,2019_07_05
Java,16.66,2019_08_09
Java,16.88,2019_09_05
Java,16.25,2019_10_03
Java,17.25,2019_11_06
Java,16.90,2020_00_05
Java,17.36,2020_01_04
Java,17.78,2020_02_04
Java,16.73,2020_03_02
Java,16.28,2020_04_02
Java,16.10,2020_05_01
Java,15.10,2020_06_04
Java,14.43,2020_07_02
Java,13.48,2020_08_06
Java,12.56,2020_09_04
Python,1.25,2001_05_30
Python,1.13,2001_06_30
Python,1.20,2001_07_30
Python,1.17,2001_08_28
Python,1.28,2001_09_26
Python,1.23,2001_10_28
Python,1.04,2001_11_31
Python,1.02,2002_00_30
Python,0.99,2002_01_27
Python,0.99,2002_02_29
Python,1.07,2002_03_29
Python,1.06,2002_04_29
Python,1.13,2002_05_29
Python,1.08,2002_06_31
Python,1.22,2002_07_29
Python,1.08,2002_08_29
Python,1.19,2002_09_30
Python,1.00,2002_10_29
Python,1.00,2002_11_31
Python,1.03,2003_00_31
Python,0.97,2003_01_28
Python,0.99,2003_02_31
Python,1.01,2003_03_30
Python,1.16,2003_04_30
Python,1.28,2003_05_30
Python,1.30,2003_06_31
Python,1.42,2003_07_31
Python,1.49,2003_08_30
Python,1.77,2003_09_31
Python,1.10,2003_10_30
Python,1.13,2003_11_31
Python,1.01,2004_00_31
Python,1.02,2004_01_29
Python,1.01,2004_02_31
Python,4.57,2004_03_30
Python,6.58,2004_04_30
Python,4.96,2004_05_30
Python,4.70,2004_06_31
Python,5.60,2004_07_30
Python,4.44,2004_08_30
Python,5.20,2004_09_31
Python,3.03,2004_10_30
Python,2.84,2004_11_31
Python,2.51,2005_00_31
Python,2.42,2005_01_28
Python,2.70,2005_02_31
Python,2.48,2005_03_30
Python,2.80,2005_04_31
Python,2.52,2005_05_30
Python,2.88,2005_06_31
Python,3.03,2005_07_31
Python,2.88,2005_08_30
Python,2.68,2005_11_03
Python,2.60,2006_00_04
